Token,Chain,Token address
ETH,Arbitrum,-
ETH,Optimism,-
ETH,Base,-
ETH,Polygon PoS,-
USDC,Arbitrum,0xaf88d065e77c8cc2239327c5edb3a432268e5831
USDC,Optimism,0x0b2c639c533813f4aa9d7837caf62653d097ff85
USDC,Base,0x833589fcd6edb6e08f4c7c32d4f71b54bda02913
USDC,Polygon PoS,0x3c499c542cef5e3811e1192ce70d8cc03d5c3359
USDC.e,Arbitrum,0xFF970A61A04b1cA14834A43f5dE4533eBDDB5CC8
USDC.e,Optimism,0x7F5c764cBc14f9669B88837ca1490cCa17c31607
USDC.e,Polygon,0x2791Bca1f2de4661ED88A30C99A7a9449Aa84174
USDC.e,Linea,0x176211869cA2b568f2A7D4EE941E073a821EE1ff
USDT,Arbitrum,0xFd086bC7CD5C481DCC9C85ebE478A1C0b69FCbb9
USDT,Optimism,0x94b008aA00579c1307B0EF2c499aD98a8ce58e58
USDT,Polygon,0xc2132D05D31c914a87C6611C10748AEb04B58e8F
USDT,Linea,0xA219439258ca9da29E9Cc4cE5596924745e12B93
wETH,Arbitrum,0x82aF49447D8a07e3bd95BD0d56f35241523fBab1
wETH,Optimism,0x4200000000000000000000000000000000000006
wETH,Base,0x4200000000000000000000000000000000000006
wETH,Polygon,0x7ceB23fD6bC0adD59E62ac25578270cFf1b9f619
wETH,Linea,0xe5D7C2a44FfDDf6b295A15c148167daaAf5Cf34f
DAI,Arbitrum,0xDA10009cBd5D07dd0CeCc66161FC93D7c9000da1
DAI,Optimism,0xDA10009cBd5D07dd0CeCc66161FC93D7c9000da1
DAI,Base,0x50c5725949A6F0c72E6C4a641F24049A917DB0Cb
DAI,Linea,0x4AF15ec2A0BD43Db75dd04E62FAA3B8EF36b00d5
GMX,Arbitrum,0xfc5A1A6EB076a2C7aD06eD22C90d7E710E35ad0a
WRLD,Optimism,0xdC6fF44d5d932Cbd77B52E5612Ba0529DC6226F1
BRETT,Base,0x532f27101965dd16442e59d40670faf5ebb142e4
APEPE,Polygon,0xa3f751662e282e83ec3cbc387d225ca56dd63d3a
